"Gene","GO"
"YAL033W","GO:0005655"
"YAL034C","GO:0003674"
"YAL034C","GO:0006357"
"YAL034C","GO:0008150"
"YAL034C","GO:0010468"
"YAL034C","GO:0016043"
"YAL034C","GO:0016573"
"YAL034C","GO:0035066"
"YAL034C","GO:0045893"
"YAL034C","GO:0070210"
"YAL034C","GO:0070461"
"YAL034C","GO:1990483"
"YAL034C","GO:0003677"
"YAL034C","GO:0003682"
"YAL034C","GO:0003700"
"YAL034C","GO:0003713"
"YAL034C","GO:0005515"
"YAL034C","GO:0005575"
"YAL034C","GO:0005634"
"YAL034C","GO:0006338"
"YAL035W","GO:0000166"
"YAL035W","GO:0006412"
"YAL035W","GO:0006413"
"YAL035W","GO:0006446"
"YAL035W","GO:0010494"
"YAL035W","GO:0016787"
"YAL035W","GO:0022627"
"YAL035W","GO:0031369"
"YAL035W","GO:0033290"
"YAL035W","GO:0042255"
"YAL035W","GO:0042256"
"YAL035W","GO:0000462"
"YAL035W","GO:0043022"
"YAL035W","GO:0046872"
"YAL035W","GO:0070181"
"YAL035W","GO:0001732"
"YAL035W","GO:0003743"
"YAL035W","GO:0003924"
"YAL035W","GO:0005525"
"YAL035W","GO:0005737"
"YAL035W","GO:0005739"
"YAL035W","GO:0005829"
"YAL036C","GO:0000166"
"YAL036C","GO:1903833"
"YAL036C","GO:0002181"
"YAL036C","GO:0003924"
"YAL036C","GO:0005525"
"YAL036C","GO:0005737"
"YAL036C","GO:0005829"
"YAL036C","GO:0005844"
"YAL036C","GO:0010494"
"YAL036C","GO:0019003"
"YAL037W","GO:0003674"
"YAL037W","GO:0005575"
"YAL037W","GO:0008150"
"YAL038W","GO:0000166"
"YAL038W","GO:0008152"
"YAL038W","GO:0016301"
"YAL038W","GO:0016310"
"YAL038W","GO:0016740"
"YAL038W","GO:0030955"
"YAL038W","GO:0032787"
"YAL038W","GO:0046872"
"YAL038W","GO:0000287"
"YAL038W","GO:0003824"
"YAL038W","GO:0004743"
"YAL038W","GO:0005524"
"YAL038W","GO:0005737"
"YAL038W","GO:0005886"
"YAL038W","GO:0006090"
"YAL038W","GO:0006096"
"YAL044W-A","GO:0003674"
"YAL044W-A","GO:0005739"
"YAL044W-A","GO:0005759"
"YAL044W-A","GO:0006879"
"YAL044W-A","GO:0016226"
"YAL044W-A","GO:0044572"
"YAL044W-A","GO:0097428"
"YAL044W-A","GO:0106035"
"YAL044W-A","GO:1990229"
"YAL049C","GO:0003674"
"YAL049C","GO:0005737"
"YAL049C","GO:0008150"
"YAL049C","GO:0016787"
"YAL055W","GO:0005515"
"YAL055W","GO:0031398"
"YAL055W","GO:0043495"
"YAL055W","GO:0097027"
"YAL055W","GO:1902499"
"YAL055W","GO:0005737"
"YAL055W","GO:0005777"
"YAL055W","GO:0005778"
"YAL055W","GO:0005779"
"YAL055W","GO:0006625"
"YAL055W","GO:0007031"
"YAL055W","GO:0016020"
"YAL055W","GO:0016562"
"YAL056W","GO:0001403"
"YAL056W","GO:0010255"
"YAL056W","GO:0030437"
"YAL056W","GO:0032794"
"YAL056W","GO:0046580"
"YAL056W","GO:0004862"
"YAL056W","GO:0004871"
"YAL056W","GO:0005515"
"YAL056W","GO:0005737"
"YAL056W","GO:0005739"
"YAL056W","GO:0005886"
