"Gene","GO"
"orf19.1291","GO:0016740"
"orf19.2555","GO:0016740"
"orf19.4812","GO:0016740"
"orf19.4308","GO:0016740"
"orf19.4242","GO:0016740"
"orf19.3798","GO:0016740"
"orf19.3077","GO:0016740"
"orf19.1968.1","GO:0016740"
"orf19.3994","GO:0016740"
"orf19.6343","GO:0016740"
"orf19.832","GO:0016740"
"orf19.1966","GO:0016740"
"orf19.6010","GO:0016740"
"orf19.3676","GO:0016740"
"orf19.3523","GO:0016740"
"orf19.7402","GO:0016740"
"orf19.4650","GO:0016740"
"orf19.3964","GO:0016740"
"orf19.946","GO:0016740"
"orf19.317","GO:0016740"
"orf19.2131","GO:0016740"
"orf19.5188","GO:0016740"
"orf19.6500","GO:0016740"
"orf19.3561","GO:0016740"
"orf19.5007","GO:0016740"
"orf19.5360","GO:0016740"
"orf19.3770","GO:0016740"
"orf19.5892","GO:0016740"
"orf19.6849","GO:0016740"
"orf19.3856","GO:0016740"
"orf19.6861","GO:0016740"
"orf19.889","GO:0016740"
"orf19.2790","GO:0016740"
"orf19.6340","GO:0016740"
"orf19.2974","GO:0016740"
"orf19.6529","GO:0016740"
"orf19.3840","GO:0016740"
"orf19.2276","GO:0016740"
"orf19.719","GO:0016740"
"orf19.399","GO:0016740"
"orf19.1814","GO:0016740"
"orf19.3630","GO:0016740"
"orf19.1043","GO:0016740"
"orf19.5815","GO:0016740"
"orf19.1591","GO:0016740"
"orf19.6358","GO:0016740"
"orf19.837","GO:0016740"
"orf19.3536","GO:0016740"
"orf19.1648","GO:0016740"
"orf19.7643","GO:0016740"
"orf19.4909","GO:0016740"
"orf19.4311","GO:0016740"
"orf19.988","GO:0016740"
"orf19.6009","GO:0016740"
"orf19.291","GO:0016740"
"orf19.7388","GO:0016740"
"orf19.793","GO:0016740"
"orf19.4704","GO:0016740"
"orf19.3651","GO:0016740"
"orf19.3040","GO:0016740"
"orf19.4591","GO:0016740"
"orf19.410.3","GO:0016740"
"orf19.1063","GO:0016740"
"orf19.4705","GO:0016740"
"orf19.2408","GO:0016740"
"orf19.5025","GO:0016740"
"orf19.5811","GO:0016740"
"orf19.1033","GO:0016740"
"orf19.7255","GO:0016740"
"orf19.6041","GO:0016740"
"orf19.1493","GO:0016740"
"orf19.500","GO:0016740"
"orf19.377","GO:0016740"
"orf19.6727","GO:0016740"
"orf19.5484","GO:0016740"
"orf19.3996","GO:0016740"
"orf19.2643","GO:0016740"
"orf19.4960","GO:0016740"
"orf19.3459","GO:0016740"
"orf19.657","GO:0016740"
"orf19.2110","GO:0016740"
"orf19.3539","GO:0016740"
"orf19.2009","GO:0016740"
"orf19.5623","GO:0016740"
"orf19.4186","GO:0016740"
"orf19.6738","GO:0016740"
"orf19.4084","GO:0016740"
"orf19.5987","GO:0016740"
"orf19.6941","GO:0016740"
"orf19.3327","GO:0016740"
"orf19.7437","GO:0016740"
"orf19.3411","GO:0016740"
"orf19.4002","GO:0016740"
"orf19.1955","GO:0016740"
"orf19.443","GO:0016740"
"orf19.6889","GO:0016740"
"orf19.5576","GO:0016740"
"orf19.1007","GO:0016740"
"orf19.2761","GO:0016740"
"orf19.4628","GO:0016740"
"orf19.1960","GO:0016740"
"orf19.6568","GO:0016740"
"orf19.7549","GO:0016740"
"orf19.396","GO:0016740"
"orf19.5363","GO:0016740"
"orf19.6800","GO:0016740"
"orf19.6190","GO:0016740"
"orf19.395","GO:0016740"
"orf19.3693","GO:0016740"
"orf19.2417","GO:0016740"
"orf19.5046","GO:0016740"
"orf19.1115","GO:0016740"
"orf19.2594","GO:0016740"
"orf19.4427","GO:0016740"
"orf19.3278","GO:0016740"
"orf19.3249","GO:0016740"
"orf19.5171","GO:0016740"
"orf19.6438","GO:0016740"
"orf19.3575","GO:0016740"
"orf19.1180","GO:0016740"
"orf19.4833","GO:0016740"
"orf19.4109","GO:0016740"
"orf19.2308","GO:0016740"
"orf19.7223","GO:0016740"
"orf19.2604","GO:0016740"
"orf19.512","GO:0016740"
"orf19.518","GO:0016740"
"orf19.499","GO:0016740"
"orf19.2837","GO:0016740"
"orf19.6044","GO:0016740"
"orf19.2436","GO:0016740"
"orf19.2346","GO:0016740"
"orf19.5832","GO:0016740"
"orf19.3990","GO:0016740"
"orf19.866","GO:0016740"
"orf19.2154","GO:0016740"
"orf19.908","GO:0016740"
"orf19.2551","GO:0016740"
"orf19.3449","GO:0016740"
"orf19.6846","GO:0016740"
"orf19.3582","GO:0016740"
"orf19.5164","GO:0016740"
"orf19.172","GO:0016740"
"orf19.277","GO:0016740"
"orf19.2654","GO:0016740"
"orf19.764","GO:0016740"
"orf19.233.1","GO:0016740"
"orf19.4809","GO:0016740"
"orf19.5505","GO:0016740"
"orf19.6086","GO:0016740"
"orf19.6977","GO:0016740"
"orf19.6369","GO:0016740"
"orf19.250","GO:0016740"
"orf19.2927","GO:0016740"
"orf19.2017","GO:0016740"
"orf19.2298","GO:0016740"
"orf19.3967","GO:0016740"
"orf19.1900","GO:0016740"
"orf19.6020","GO:0016740"
"orf19.5809","GO:0016740"
"orf19.7293","GO:0016740"
"orf19.7383","GO:0016740"
"orf19.4606","GO:0016740"
"orf19.3960","GO:0016740"
"orf19.4723","GO:0016740"
"orf19.1248","GO:0016740"
"orf19.25","GO:0016740"
"orf19.6437","GO:0016740"
"orf19.5977","GO:0016740"
"orf19.359","GO:0016740"
"orf19.1356","GO:0016740"
"orf19.6936","GO:0016740"
"orf19.6905","GO:0016740"
"orf19.4518","GO:0016740"
"orf19.3267","GO:0016740"
"orf19.5027","GO:0016740"
"orf19.7369","GO:0016740"
"orf19.3265","GO:0016740"
"orf19.7617","GO:0016740"
"orf19.3689","GO:0016740"
"orf19.6581","GO:0016740"
"orf19.4191.1","GO:0016740"
"orf19.1196","GO:0016740"
"orf19.6275","GO:0016740"
"orf19.4373","GO:0016740"
"orf19.4896","GO:0016740"
"orf19.6938","GO:0016740"
"orf19.6378","GO:0016740"
"orf19.76","GO:0016740"
"orf19.4611","GO:0016740"
"orf19.7326","GO:0016740"
"orf19.3347","GO:0016740"
"orf19.1476","GO:0016740"
"orf19.920","GO:0016740"
"orf19.3185","GO:0016740"
"orf19.7478","GO:0016740"
"orf19.976","GO:0016740"
"orf19.1259","GO:0016740"
"orf19.7281","GO:0016740"
"orf19.2678","GO:0016740"
"orf19.5808","GO:0016740"
"orf19.7062","GO:0016740"
"orf19.6812","GO:0016740"
"orf19.3473","GO:0016740"
"orf19.5901","GO:0016740"
"orf19.3585","GO:0016740"
"orf19.7644","GO:0016740"
"orf19.579","GO:0016740"
"orf19.7269","GO:0016740"
"orf19.1839","GO:0016740"
"orf19.1803","GO:0016740"
"orf19.4641","GO:0016740"
"orf19.2320","GO:0016740"
"orf19.4664","GO:0016740"
"orf19.7044","GO:0016740"
"orf19.4950","GO:0016740"
"orf19.3400","GO:0016740"
"orf19.5244","GO:0016740"
"orf19.2640","GO:0016740"
"orf19.3291","GO:0016740"
"orf19.1936","GO:0016740"
"orf19.5591","GO:0016740"
"orf19.7291","GO:0016740"
"orf19.5207","GO:0016740"
"orf19.2363","GO:0016740"
"orf19.4418","GO:0016740"
"orf19.4026","GO:0016740"
"orf19.4979","GO:0016740"
"orf19.2098","GO:0016740"
"orf19.3468","GO:0016740"
"orf19.7601","GO:0016740"
"orf19.558","GO:0016740"
"orf19.7063","GO:0016740"
"orf19.6712","GO:0003674"
"orf19.5559","GO:0003674"
"orf19.2314","GO:0003674"
"orf19.1795.1","GO:0003674"
"orf19.2386","GO:0003674"
"orf19.3369","GO:0003674"
"orf19.4273","GO:0003674"
"orf19.6134","GO:0003674"
"orf19.215","GO:0003674"
"orf19.7552","GO:0003674"
"orf19.5897","GO:0003674"
"orf19.4144","GO:0003674"
"orf19.3225","GO:0003674"
"orf19.2078","GO:0003674"
"orf19.7624","GO:0003674"
"orf19.6117","GO:0003674"
"orf19.7183","GO:0003674"
"orf19.5049","GO:0003674"
"orf19.4800","GO:0003674"
"orf19.1667.1","GO:0003674"
"orf19.4358","GO:0003674"
"orf19.2143","GO:0003674"
"orf19.1772","GO:0003674"
"orf19.7011","GO:0003674"
"orf19.3268","GO:0003674"
"orf19.4746","GO:0003674"
"orf19.135","GO:0003674"
"orf19.3062","GO:0003674"
"orf19.6316.4","GO:0003674"
"orf19.4349","GO:0003674"
"orf19.897","GO:0003674"
"orf19.247","GO:0003674"
"orf19.2519","GO:0003674"
"orf19.7660","GO:0003674"
"orf19.5536","GO:0003674"
"orf19.5574","GO:0003674"
"orf19.2246","GO:0003674"
"orf19.3887","GO:0003674"
"orf19.6222","GO:0003674"
"orf19.4835","GO:0003674"
"orf19.2370","GO:0003674"
"orf19.4626","GO:0003674"
"orf19.7178","GO:0003674"
"orf19.6318","GO:0003674"
"orf19.7324","GO:0003674"
"orf19.3558","GO:0003674"
"orf19.6769","GO:0003674"
"orf19.3276","GO:0003674"
"orf19.5030","GO:0003674"
"orf19.5780","GO:0003674"
"orf19.4194","GO:0003674"
"orf19.1394","GO:0003674"
"orf19.2938","GO:0003674"
"orf19.5510","GO:0003674"
"orf19.4906","GO:0003674"
"orf19.2410","GO:0003674"
"orf19.3984","GO:0003674"
"orf19.4163","GO:0003674"
"orf19.3247","GO:0003674"
"orf19.4253","GO:0003674"
"orf19.1569","GO:0003674"
"orf19.2204","GO:0003674"
"orf19.6014","GO:0003674"
"orf19.3141","GO:0003674"
"orf19.2303","GO:0003674"
"orf19.7229","GO:0003674"
"orf19.3665","GO:0003674"
"orf19.4787","GO:0003674"
"orf19.4133","GO:0003674"
"orf19.2278","GO:0003674"
"orf19.6828","GO:0003674"
"orf19.4930","GO:0003674"
"orf19.4132","GO:0003674"
"orf19.6537","GO:0003674"
"orf19.1690","GO:0003674"
"orf19.4848","GO:0003674"
"orf19.4731","GO:0003674"
"orf19.5984","GO:0003674"
"orf19.7078","GO:0003674"
"orf19.5550","GO:0003674"
"orf19.5407","GO:0003674"
"orf19.1183","GO:0003674"
"orf19.3401","GO:0003674"
"orf19.3698","GO:0003674"
"orf19.7627","GO:0003674"
"orf19.477","GO:0003674"
"orf19.4845","GO:0003674"
"orf19.1915","GO:0003674"
"orf19.4907","GO:0003674"
"orf19.542.2","GO:0003674"
"orf19.7588","GO:0003674"
"orf19.5457","GO:0003674"
"orf19.2076","GO:0003674"
"orf19.6502","GO:0003674"
"orf19.916","GO:0003674"
"orf19.7107","GO:0003674"
"orf19.5894","GO:0003674"
"orf19.5227","GO:0003674"
"orf19.835","GO:0003674"
"orf19.7139","GO:0003674"
"orf19.1907","GO:0003674"
"orf19.3548","GO:0003674"
"orf19.3228","GO:0003674"
"orf19.7327","GO:0003674"
"orf19.1250","GO:0003674"
"orf19.3804","GO:0003674"
"orf19.7459","GO:0003674"
"orf19.2564","GO:0003674"
"orf19.2755","GO:0003674"
"orf19.93","GO:0003674"
"orf19.3872","GO:0003674"
"orf19.7422","GO:0003674"
"orf19.945","GO:0003674"
"orf19.6880","GO:0003674"
"orf19.5912","GO:0003674"
"orf19.6720","GO:0003674"
"orf19.5299","GO:0003674"
"orf19.2309","GO:0003674"
"orf19.2850","GO:0003674"
"orf19.57","GO:0003674"
"orf19.6636","GO:0003674"
"orf19.6805","GO:0003674"
"orf19.4465","GO:0003674"
"orf19.1533","GO:0003674"
"orf19.2531","GO:0003674"
"orf19.5042","GO:0003674"
"orf19.1959","GO:0003674"
"orf19.5568","GO:0003674"
"orf19.2749","GO:0003674"
"orf19.2726","GO:0003674"
"orf19.5919","GO:0003674"
"orf19.4044","GO:0003674"
"orf19.2397.3","GO:0003674"
"orf19.5905","GO:0003674"
"orf19.5931","GO:0003674"
"orf19.7650","GO:0003674"
"orf19.2334","GO:0003674"
"orf19.1975","GO:0003674"
"orf19.4947","GO:0003674"
"orf19.7106","GO:0003674"
"orf19.340","GO:0003674"
"orf19.7154","GO:0003674"
"orf19.836.1","GO:0003674"
"orf19.5065","GO:0003674"
"orf19.5754","GO:0003674"
"orf19.480","GO:0003674"
"orf19.1050","GO:0003674"
"orf19.587","GO:0003674"
"orf19.7128","GO:0003674"
"orf19.2859","GO:0003674"
"orf19.6091","GO:0003674"
"orf19.5903","GO:0003674"
"orf19.6809","GO:0003674"
"orf19.3517","GO:0003674"
"orf19.6062","GO:0003674"
"orf19.3318","GO:0003674"
"orf19.4883","GO:0003674"
"orf19.6872","GO:0003674"
"orf19.5296","GO:0003674"
"orf19.243","GO:0003674"
"orf19.586","GO:0003674"
"orf19.2070","GO:0003674"
"orf19.5107","GO:0003674"
"orf19.7531","GO:0003674"
"orf19.158","GO:0003674"
"orf19.7436.1","GO:0003674"
